time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.12,0,-1.482,0.866,-29.676,0.000,-8346.000,756.000,-7.950,51.600,-21.450
0.22,0,-1.477,0.894,-30.732,-60.000,-8198.000,810.000,-9.150,52.650,-22.500
0.32,0,-1.470,0.895,-31.700,10.000,-8314.000,796.000,-8.700,51.900,-21.750
0.44,0,-1.469,0.896,-32.640,-88.000,-8264.000,834.000,-8.250,52.950,-20.850
0.55,0,-1.465,0.874,-33.556,-118.000,-8320.000,818.000,-9.900,51.900,-21.150
0.64,0,-1.440,0.779,-34.358,-74.000,-8348.000,786.000,-7.800,52.950,-22.050
0.75,0,-1.398,0.522,-35.153,-82.000,-8314.000,828.000,-7.950,51.900,-22.950
0.86,0,-1.309,0.163,-36.063,32.000,-8110.000,926.000,-8.700,52.650,-24.000
0.95,0,-1.189,0.062,-37.068,54.000,-8200.000,980.000,-9.150,51.900,-21.750
1.06,0,-1.142,0.207,-38.139,-78.000,-8224.000,940.000,-7.200,52.650,-21.150
1.17,0,-1.104,0.381,-39.119,-112.000,-8302.000,954.000,-8.550,51.300,-22.350
1.28,0,-1.035,0.460,-40.033,-6.000,-8260.000,906.000,-9.000,51.000,-22.800
1.37,0,-0.991,0.502,-40.979,-138.000,-8262.000,906.000,-8.700,52.650,-21.150
1.50,0,-1.069,0.609,-41.767,-96.000,-8294.000,868.000,-8.400,51.600,-22.950
1.60,0,-1.158,0.716,-42.601,-72.000,-8246.000,882.000,-9.000,52.200,-22.800
1.69,0,-1.202,0.755,-43.386,-86.000,-8282.000,842.000,-7.500,51.300,-22.050
1.80,0,-1.197,0.721,-44.164,-78.000,-8190.000,872.000,-7.500,52.500,-22.350
1.91,0,-1.199,0.718,-44.959,-62.000,-8272.000,836.000,-7.950,52.350,-20.700
2.02,0,-1.203,0.741,-45.776,-70.000,-8278.000,808.000,-7.950,50.850,-20.400
2.12,0,-1.214,0.759,-46.599,-64.000,-8202.000,850.000,-8.400,53.850,-22.500
2.22,0,-1.221,0.768,-47.374,-94.000,-8220.000,852.000,-7.500,52.950,-22.800
2.33,0,-1.196,0.785,-48.150,-74.000,-8224.000,868.000,-9.300,51.750,-22.350
2.45,0,-1.146,0.819,-48.933,-50.000,-8236.000,844.000,-8.250,51.750,-22.350
2.54,0,-1.121,0.854,-49.678,-70.000,-8224.000,824.000,-10.200,53.850,-22.200
2.65,0,-1.123,0.903,-50.412,-118.000,-8248.000,910.000,-7.800,51.750,-21.600
2.76,0,-1.156,0.907,-51.116,-70.000,-8252.000,838.000,-7.650,51.600,-22.950
2.85,0,-1.191,0.881,-51.797,-104.000,-8272.000,842.000,-8.550,52.200,-22.050
2.96,0,-1.274,0.896,-52.451,-16.000,-8198.000,820.000,-7.950,52.650,-21.750
3.07,0,-1.350,0.916,-53.132,28.000,-8222.000,824.000,-8.400,52.650,-21.750
3.18,0,-1.391,0.921,-53.801,-82.000,-8300.000,818.000,-8.250,52.950,-21.600
3.29,0,-1.351,0.889,-54.473,-80.000,-8230.000,852.000,-8.700,53.100,-21.750
3.37,0,-1.252,0.809,-55.152,-126.000,-8268.000,872.000,-8.400,52.350,-21.750
3.49,0,-1.196,0.721,-55.787,-54.000,-8290.000,870.000,-7.200,52.350,-21.750
3.59,0,-1.162,0.520,-56.492,-78.000,-8280.000,892.000,-8.550,52.200,-23.550
3.71,0,-1.147,0.197,-57.206,-18.000,-8270.000,916.000,-7.500,51.750,-23.100
3.81,0,-1.159,-0.237,-57.936,-8.000,-8302.000,1016.000,-9.300,53.700,-22.350
3.92,0,-1.155,-0.768,-58.741,-50.000,-8194.000,1066.000,-8.400,51.900,-22.950
4.01,0,-1.066,-1.504,-59.655,-66.000,-8258.000,1152.000,-8.550,52.950,-22.800
4.12,0,-0.906,-2.493,-60.706,54.000,-8242.000,1342.000,-9.000,53.250,-24.900
4.24,0,-0.591,-3.770,-61.862,12.000,-8210.000,1506.000,-9.150,54.300,-25.800
4.34,0,-0.147,-5.114,-63.091,-56.000,-8084.000,1628.000,-10.050,51.750,-27.900
4.44,0,0.223,-6.191,-64.217,160.000,-8098.000,1830.000,-9.150,52.650,-28.500
4.54,0,0.439,-7.618,-65.301,16.000,-8076.000,2024.000,-9.750,52.950,-29.700
4.65,0,0.888,-9.068,-66.318,-48.000,-7966.000,2208.000,-10.500,54.000,-32.250
4.75,0,1.410,-10.278,-67.330,34.000,-7938.000,2450.000,-9.000,52.200,-32.250
4.85,0,1.961,-11.602,-68.220,34.000,-7896.000,2680.000,-9.900,52.350,-34.650
4.97,0,2.502,-13.236,-69.055,6.000,-7840.000,2846.000,-10.500,52.500,-36.300
5.08,0,3.066,-14.837,-69.775,38.000,-7728.000,3012.000,-8.700,52.650,-37.950
5.18,0,3.790,-16.224,-70.860,-74.000,-7638.000,3278.000,-9.300,52.950,-39.000
5.29,0,4.375,-17.590,-71.448,-98.000,-7586.000,3474.000,-8.700,51.150,-42.000
5.38,0,4.943,-19.068,-71.805,-76.000,-7388.000,3644.000,-9.900,50.850,-43.950
5.49,0,5.685,-20.350,-72.496,-116.000,-7312.000,3812.000,-7.800,50.550,-44.100
5.60,0,6.570,-21.380,-73.366,-156.000,-7208.000,4032.000,-7.950,50.400,-45.300
5.71,0,7.375,-22.430,-73.993,-334.000,-7088.000,4188.000,-7.200,51.150,-47.550
5.82,0,8.114,-23.564,-74.535,-262.000,-7112.000,4396.000,-7.050,48.600,-48.150
5.92,0,8.985,-24.918,-75.306,-398.000,-6886.000,4472.000,-8.700,49.200,-48.750
6.02,0,9.871,-26.319,-76.125,-312.000,-6750.000,4590.000,-6.900,47.700,-50.850
6.13,0,10.773,-27.593,-77.100,-418.000,-6588.000,4776.000,-6.750,46.350,-51.750
6.24,0,11.827,-28.734,-78.112,-512.000,-6568.000,4998.000,-7.200,47.250,-53.850
6.34,0,12.638,-29.873,-78.735,-620.000,-6342.000,5092.000,-6.300,44.400,-54.750
6.44,0,13.474,-30.818,-79.279,-468.000,-6404.000,5382.000,-4.800,45.150,-55.800
6.55,0,14.418,-31.869,-80.016,-722.000,-6228.000,5532.000,-5.250,44.850,-56.550
6.65,0,15.352,-33.244,-80.496,-724.000,-6040.000,5666.000,-4.650,43.050,-58.950
6.75,0,16.433,-34.748,-81.187,-630.000,-5908.000,5810.000,-5.550,41.700,-60.300
6.86,0,17.361,-36.483,-81.692,-590.000,-5680.000,6088.000,-4.800,42.150,-61.050
6.95,0,18.331,-38.376,-82.271,-656.000,-5480.000,6180.000,-4.200,39.600,-62.700
7.07,0,19.641,-40.060,-83.184,-618.000,-5180.000,6302.000,-5.550,38.250,-65.400
