time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.12,1,0.392,0.086,-0.000,1.852,7.746,0.889,-24.253,-43.766,-19.514
0.22,1,0.368,0.005,-0.289,1.818,7.777,0.957,-24.853,-45.116,-18.164
0.32,1,0.476,0.032,-0.308,1.979,7.688,0.877,-25.303,-43.916,-19.214
0.43,1,0.514,0.089,-0.179,1.811,7.746,0.906,-23.503,-45.716,-18.764
0.53,1,0.472,0.097,-0.236,1.826,7.668,0.863,-25.003,-44.516,-18.314
0.63,1,0.506,0.118,-0.283,1.842,7.676,0.945,-25.453,-43.766,-18.764
0.75,1,0.512,0.160,-0.243,1.877,7.723,0.891,-26.203,-44.516,-18.764
0.85,1,0.455,0.133,-0.310,1.830,7.672,0.953,-23.653,-43.166,-18.914
0.95,1,0.412,0.086,-0.475,1.869,7.697,0.922,-24.553,-43.616,-18.464
1.05,1,0.488,0.083,-0.536,1.947,7.631,0.965,-26.053,-44.816,-17.864
1.14,1,0.473,0.106,-0.439,1.826,7.697,0.932,-24.853,-45.116,-18.914
1.25,1,0.432,0.127,-0.521,1.830,7.732,0.855,-25.603,-44.816,-18.164
1.37,1,0.477,0.129,-0.696,1.891,7.730,0.926,-24.253,-43.766,-16.814
1.47,1,0.552,0.179,-0.673,1.848,7.785,0.893,-24.703,-44.216,-18.764
1.58,1,0.546,0.232,-0.656,1.971,7.680,0.928,-25.303,-45.116,-19.214
1.68,1,0.419,0.170,-0.765,1.859,7.707,0.902,-24.851,-42.415,-19.665
1.77,1,0.405,0.126,-0.844,1.861,7.664,0.920,-24.251,-44.515,-19.065
1.88,1,0.436,0.156,-0.787,1.906,7.674,0.902,-24.701,-44.965,-19.515
1.99,1,0.386,0.144,-0.781,1.770,7.699,0.953,-24.251,-44.965,-18.015
2.09,1,0.418,0.142,-0.909,1.926,7.691,0.873,-24.251,-44.215,-17.565
2.19,1,0.462,0.151,-0.847,1.879,7.734,0.969,-24.701,-43.015,-19.065
2.29,1,0.473,0.149,-0.857,1.904,7.674,0.924,-25.601,-43.915,-18.465
2.41,1,0.469,0.163,-0.831,1.857,7.676,0.916,-25.751,-45.715,-18.315
2.51,1,0.509,0.259,-0.747,1.953,7.717,1.332,-25.451,-44.215,-17.265
2.61,1,0.348,0.654,-1.260,1.848,7.846,1.051,-25.601,-44.365,-20.415
2.72,1,0.056,1.129,-3.320,1.971,7.984,1.334,-25.001,-44.515,-20.265
2.82,1,-0.917,2.128,-4.843,1.811,7.883,1.859,-25.751,-43.765,-19.065
2.93,1,-2.537,3.928,-6.752,1.937,7.832,1.951,-26.208,-42.565,-20.261
3.03,1,-4.622,6.392,-8.728,1.883,7.875,1.859,-25.008,-39.865,-22.811
3.13,1,-6.949,8.935,-11.579,1.766,7.705,2.260,-25.617,-40.464,-24.759
3.23,1,-9.214,11.951,-14.241,2.186,7.799,3.604,-26.817,-38.814,-27.009
3.34,1,-12.887,16.052,-17.160,1.848,7.348,4.393,-25.774,-36.263,-29.109
3.45,1,-17.889,20.896,-22.052,2.080,6.912,4.156,-27.757,-32.808,-33.463
3.55,1,-23.104,25.338,-25.674,1.939,6.119,4.811,-26.247,-32.059,-36.160
3.64,1,-28.254,29.146,-28.637,1.949,5.479,5.367,-25.347,-25.609,-38.860
3.77,1,-32.746,33.269,-30.785,1.564,4.939,6.102,-24.933,-21.701,-42.922
3.87,1,-37.822,36.522,-34.174,1.320,4.139,6.172,-23.595,-17.947,-45.326
3.97,1,-42.631,39.028,-37.493,1.037,3.539,6.740,-23.473,-14.338,-47.437
4.07,1,-46.581,41.830,-40.665,1.064,3.129,6.838,-21.523,-11.638,-48.187
4.18,1,-50.576,43.379,-44.039,1.025,2.744,7.070,-20.365,-8.623,-48.054
4.29,1,-54.133,44.335,-46.881,0.850,2.260,7.479,-21.265,-6.073,-48.954
4.39,1,-57.598,45.140,-49.797,1.084,2.002,7.494,-20.693,-3.212,-49.566
4.50,1,-60.706,45.922,-52.488,0.994,1.703,7.582,-19.643,-2.012,-49.116
4.60,1,-63.570,46.277,-55.149,1.100,1.354,7.352,-19.643,-1.262,-49.566
4.70,1,-65.499,46.229,-56.711,1.061,1.078,7.303,-21.151,-0.058,-50.318
4.80,1,-66.245,46.708,-57.113,1.021,0.744,7.939,-19.801,-0.208,-50.768
4.91,1,-67.167,46.748,-57.226,0.572,1.227,7.848,-20.401,0.692,-49.568
5.02,1,-68.266,47.263,-58.397,0.838,0.799,7.498,-20.401,2.342,-49.868
5.11,1,-68.731,48.208,-58.878,0.639,0.824,7.775,-18.451,2.342,-49.868
5.22,1,-68.939,48.377,-58.703,0.246,0.723,7.867,-18.151,1.892,-52.418
5.33,1,-68.965,48.403,-58.604,0.166,0.861,7.807,-19.226,3.105,-50.327
5.44,1,-68.524,48.432,-58.799,0.680,0.955,7.594,-18.476,3.855,-50.927
5.54,1,-67.363,48.617,-58.162,1.035,1.006,7.709,-18.326,2.955,-51.977
5.64,1,-65.840,49.460,-56.801,0.426,1.230,8.693,-18.180,0.407,-50.629
5.76,1,-66.203,49.285,-56.679,0.229,1.180,8.773,-16.980,0.557,-50.779
5.86,1,-68.336,48.785,-58.387,0.459,0.900,7.691,-17.880,1.157,-51.379
5.95,1,-69.566,48.795,-59.178,0.262,0.871,7.354,-15.930,4.307,-51.379
6.06,1,-69.768,49.383,-59.191,0.248,0.754,7.451,-17.130,3.857,-51.379
6.16,1,-69.748,49.541,-59.522,0.529,0.619,7.906,-16.530,4.157,-51.529
6.26,1,-69.423,49.470,-59.126,0.213,0.727,7.928,-16.657,3.096,-50.619
6.37,1,-68.949,49.539,-58.684,0.061,0.750,7.951,-16.207,3.696,-52.269
6.48,1,-68.501,49.420,-58.597,0.357,0.733,7.606,-15.757,2.196,-50.769
6.59,1,-67.160,49.366,-57.622,0.393,0.562,7.231,-17.257,4.146,-51.969
6.69,1,-64.338,49.161,-55.204,0.586,1.134,6.825,-17.104,-0.055,-52.117
6.79,1,-59.669,48.525,-50.638,0.312,1.579,6.876,-16.504,-1.405,-51.967
6.89,1,-53.172,47.181,-43.239,0.426,1.882,7.706,-15.778,-5.294,-50.480
7.00,1,-47.433,44.511,-36.997,0.367,3.226,7.079,-15.927,-7.844,-50.629
7.11,1,-42.662,40.006,-32.250,0.338,4.114,6.464,-17.285,-13.541,-49.733
7.21,1,-37.116,36.458,-27.549,0.621,4.675,6.935,-20.585,-17.591,-47.183
7.31,1,-32.292,33.672,-24.447,0.777,5.278,7.075,-19.084,-19.991,-45.682
7.43,1,-29.032,30.855,-23.460,1.295,5.507,6.380,-20.739,-24.190,-45.085
7.52,1,-26.553,27.980,-22.857,1.551,5.755,5.536,-22.239,-26.440,-42.835
7.63,1,-23.683,25.271,-21.097,1.877,6.036,5.019,-21.327,-29.441,-41.180
7.74,1,-20.247,23.161,-17.651,1.410,6.511,4.878,-21.934,-31.541,-38.032
7.84,1,-17.542,20.230,-14.897,1.396,6.743,4.083,-21.484,-33.491,-36.232
7.94,1,-14.871,16.894,-12.057,1.215,7.083,3.718,-21.939,-35.441,-33.983
8.04,1,-12.233,13.785,-9.975,1.281,7.444,3.700,-22.107,-37.991,-31.582
8.15,1,-9.962,11.448,-8.174,1.490,7.554,3.704,-24.357,-38.741,-30.382
8.26,1,-8.394,9.964,-7.061,1.533,7.669,3.101,-23.443,-41.289,-26.633
8.36,1,-7.497,8.502,-6.388,1.410,7.534,2.485,-23.743,-42.939,-26.933
8.46,1,-6.682,7.102,-5.849,1.342,7.620,1.886,-22.848,-42.340,-25.279
8.57,1,-5.456,5.221,-6.023,1.607,7.606,1.728,-24.798,-41.590,-24.829
8.68,1,-3.423,3.789,-3.644,1.334,7.663,1.759,-23.898,-43.840,-21.979
8.78,1,-1.721,2.302,-2.879,1.422,7.839,1.149,-22.998,-45.640,-20.629
8.89,1,-0.127,0.767,-3.397,1.836,8.116,0.979,-24.793,-44.738,-19.735
8.99,1,0.876,-0.810,-3.125,2.168,7.683,0.933,-24.493,-44.437,-17.635
9.09,1,1.098,-2.327,-3.935,1.389,7.765,1.716,-23.152,-46.989,-15.969
9.20,1,1.036,-2.179,-5.524,1.736,8.030,0.874,-25.552,-45.039,-13.419
9.31,1,0.941,-1.630,-3.161,1.260,7.804,0.302,-24.352,-44.289,-17.169
9.41,1,1.485,-1.201,-2.685,1.615,7.702,0.354,-23.002,-46.089,-16.119
9.51,1,1.883,-1.206,-2.796,1.568,7.823,0.864,-23.752,-45.189,-16.119
9.62,1,2.159,-0.965,-2.276,1.396,7.794,0.677,-24.352,-45.789,-15.969
9.72,1,2.202,-0.640,-2.158,1.514,7.976,0.442,-23.002,-47.589,-16.569
9.84,1,1.928,-0.583,-3.252,1.571,7.559,0.892,-23.752,-46.089,-16.119
9.94,1,1.122,-0.878,-4.827,1.925,7.885,0.507,-24.502,-45.639,-16.869
10.05,1,0.805,-0.802,-3.649,1.458,7.826,0.421,-25.702,-45.189,-17.319
10.14,1,1.106,-0.720,-2.870,1.413,7.820,0.747,-24.502,-44.889,-16.119
10.24,1,1.495,-0.702,-2.535,1.663,7.633,0.749,-23.602,-46.239,-16.419
10.34,1,1.708,-0.568,-2.134,1.765,7.994,0.599,-24.202,-46.089,-16.569
10.45,1,1.780,-0.361,-1.687,1.462,7.654,0.878,-24.202,-46.089,-17.319
10.56,1,1.500,-0.309,-1.719,1.401,7.604,0.847,-23.452,-44.439,-17.619
10.66,1,0.913,-0.467,-1.999,1.563,7.845,0.562,-25.102,-45.039,-17.919
10.76,1,0.738,-0.572,-2.191,1.472,8.036,0.526,-25.852,-45.489,-17.919
10.87,1,1.289,-0.402,-1.686,1.622,7.708,0.778,-24.202,-45.639,-17.619
10.98,1,1.568,-0.470,-1.170,1.628,7.687,0.685,-23.452,-46.389,-16.119
11.09,1,1.496,-0.636,-1.490,1.782,7.902,0.692,-23.152,-45.039,-17.469
11.18,1,1.176,-0.734,-1.808,1.638,7.611,0.880,-24.202,-44.889,-16.869
11.29,1,0.792,-0.797,-2.012,1.653,7.871,0.642,-24.502,-44.439,-17.619
11.39,1,0.669,-0.645,-2.065,1.515,7.906,0.776,-25.702,-45.639,-18.819
11.50,1,0.844,-0.436,-1.693,1.601,7.762,0.712,-25.552,-45.039,-17.169
11.60,1,1.083,-0.462,-1.256,1.634,7.629,0.618,-23.602,-45.789,-17.469
11.71,1,1.430,-0.344,-1.215,1.573,7.883,0.903,-24.502,-46.089,-16.569
11.81,1,1.541,-0.144,-1.393,1.646,7.650,0.669,-24.502,-45.639,-16.869
11.92,1,1.626,-0.158,-1.627,1.669,7.773,0.679,-25.552,-45.039,-16.719
12.02,1,1.856,-0.152,-1.120,1.431,7.918,0.708,-23.452,-46.389,-17.319
