time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.10,1,0.011,0.229,0.385,2.289,7.404,-31.999,-26.577,-40.312,-21.856
0.12,1,-0.018,0.269,0.425,2.357,7.369,-31.999,-26.277,-38.662,-23.206
0.23,1,-0.032,0.323,0.488,2.305,7.355,-31.999,-25.227,-38.962,-22.306
0.32,1,-0.038,0.339,0.564,2.369,7.354,-31.999,-26.727,-39.712,-23.056
0.43,1,-0.101,0.400,0.594,2.338,7.350,-31.999,-27.477,-39.262,-23.056
0.54,1,-0.117,0.465,0.586,2.281,7.387,-31.999,-26.427,-39.262,-23.506
0.64,1,-0.075,0.533,0.655,2.355,7.361,-31.999,-28.227,-39.712,-23.506
0.75,1,-0.086,0.519,0.704,2.330,7.434,-31.999,-27.177,-38.512,-23.056
0.85,1,-0.126,0.462,0.737,2.297,7.332,-31.999,-25.677,-39.262,-22.306
0.95,1,-0.117,0.424,0.864,2.436,7.338,-31.999,-28.527,-40.612,-20.356
1.06,1,-0.269,0.314,0.784,2.344,7.352,-31.999,-26.727,-39.712,-22.306
1.16,1,-0.414,0.286,0.634,2.230,7.438,-31.999,-25.977,-39.712,-22.306
1.27,1,-0.461,1.309,0.164,1.965,7.365,-31.999,-26.277,-38.662,-22.156
1.38,1,-1.145,2.569,0.347,2.084,7.396,-31.999,-28.077,-38.362,-22.456
1.48,1,-2.206,4.220,1.401,2.266,7.422,-31.999,-28.077,-37.612,-24.406
1.58,1,-3.492,5.952,2.212,2.127,7.281,-31.999,-26.577,-36.712,-24.706
1.70,1,-4.730,8.138,2.321,2.121,7.277,-31.999,-26.277,-36.712,-26.956
1.80,1,-5.928,10.456,2.084,2.020,7.221,-31.999,-27.027,-35.512,-27.406
1.90,1,-7.642,11.694,2.300,1.717,7.127,-31.999,-28.077,-35.212,-29.506
2.00,1,-9.232,14.442,1.825,2.033,6.809,-31.999,-26.727,-31.462,-32.356
2.10,1,-12.083,17.033,1.446,2.314,6.305,-31.999,-27.477,-28.312,-32.356
2.20,1,-15.218,15.914,3.435,1.484,6.418,-31.999,-24.327,-29.362,-35.506
2.31,1,-16.926,19.116,3.203,1.891,6.297,-31.999,-25.977,-29.062,-35.656
2.43,1,-19.112,21.708,2.620,1.736,6.051,-31.999,-23.727,-26.812,-37.906
2.53,1,-22.316,23.705,1.260,1.512,5.801,-31.999,-24.477,-25.612,-37.456
2.63,1,-25.536,25.734,0.260,1.480,5.332,-31.999,-24.027,-21.862,-39.556
2.73,1,-28.224,25.438,2.214,1.260,5.158,-31.999,-22.977,-20.962,-41.656
2.84,1,-30.688,26.345,3.405,1.221,4.895,-31.999,-21.177,-19.762,-44.506
2.94,1,-33.452,28.902,2.198,1.098,4.459,-31.999,-20.877,-16.762,-44.806
3.04,1,-35.940,30.775,1.526,1.012,4.195,-31.999,-21.327,-14.212,-45.106
3.15,1,-38.067,32.169,0.936,0.861,3.811,-31.999,-20.427,-14.062,-46.756
3.26,1,-39.168,33.244,0.421,1.090,3.521,-31.999,-21.177,-11.212,-46.756
3.35,1,-39.408,33.550,0.091,0.943,3.617,-31.999,-21.327,-11.512,-46.156
3.46,1,-39.005,33.316,0.569,0.777,3.795,-31.999,-20.727,-11.662,-46.006
3.56,1,-38.681,33.528,0.808,0.854,3.760,-31.999,-20.127,-12.712,-46.156
3.67,1,-38.403,33.728,1.071,0.973,3.662,-31.999,-22.227,-13.162,-45.256
3.77,1,-38.209,33.691,1.327,0.859,3.686,-31.999,-20.727,-12.112,-47.206
3.88,1,-38.158,33.726,1.351,0.754,3.705,-31.999,-20.127,-12.262,-47.356
3.99,1,-38.390,33.824,1.245,0.715,3.707,-31.999,-20.127,-12.262,-46.906
4.10,1,-38.710,34.175,1.118,0.668,3.760,-31.999,-20.877,-11.512,-46.906
4.21,1,-38.817,34.825,1.006,0.920,3.570,-31.999,-20.127,-11.812,-45.856
4.30,1,-38.884,35.062,0.897,0.850,3.605,-31.999,-19.077,-12.712,-46.606
