time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.10,1,0.065,0.245,1.424,1.600,7.697,0.590,-5.400,-31.050,-47.550
0.21,1,0.303,0.603,1.513,1.752,7.730,0.680,-6.000,-30.450,-47.700
0.31,1,0.510,0.771,1.595,1.703,7.744,0.861,-3.000,-31.950,-46.650
0.41,1,0.446,0.754,1.626,1.693,7.852,0.748,-3.450,-32.250,-47.850
0.53,1,0.227,0.511,1.374,1.584,7.693,0.590,-3.750,-31.200,-47.700
0.63,1,0.235,0.446,1.267,1.639,7.723,0.588,-3.150,-32.550,-47.100
0.73,1,0.450,0.396,1.278,1.604,7.850,0.754,-4.950,-31.500,-47.850
0.83,1,0.601,0.417,1.306,1.621,7.840,0.824,-3.750,-32.850,-46.650
0.93,1,0.572,0.574,1.327,1.670,7.848,0.709,-3.300,-31.650,-47.400
1.04,1,0.466,0.714,1.371,1.686,7.781,0.588,-5.550,-30.000,-47.400
1.15,1,0.432,0.711,1.359,1.568,7.768,0.574,-4.050,-32.400,-48.000
1.25,1,0.501,0.729,1.390,1.566,7.736,0.641,-3.750,-30.900,-47.400
1.36,1,0.626,0.783,1.376,1.580,7.855,0.760,-2.700,-32.550,-47.850
1.46,1,0.574,0.854,1.295,1.703,7.797,0.758,-3.450,-32.250,-47.100
1.56,1,0.420,0.833,1.273,1.676,7.787,0.666,-4.800,-31.950,-47.400
1.66,1,0.341,0.732,1.336,1.605,7.869,0.668,-3.750,-31.650,-49.200
1.77,1,0.264,0.622,1.369,1.580,7.807,0.809,-2.550,-31.650,-48.000
1.88,1,0.078,0.687,1.429,1.564,7.801,0.754,-3.150,-31.800,-49.050
1.98,1,-0.146,0.818,1.438,1.670,7.793,0.723,-3.150,-31.050,-47.850
2.08,1,-0.389,0.630,1.155,1.787,7.654,0.568,-4.050,-31.650,-48.750
2.19,1,-0.332,0.165,0.871,1.564,7.727,0.533,-4.950,-30.600,-48.300
2.30,1,-0.033,-0.102,0.596,1.604,7.684,0.762,-3.750,-31.200,-48.000
2.39,1,0.371,0.017,0.348,1.695,7.787,0.801,-4.650,-31.500,-47.550
2.49,1,0.677,0.493,0.548,1.822,7.834,0.945,-4.800,-30.900,-48.750
2.61,1,0.603,0.569,0.460,1.812,7.732,0.813,-3.150,-31.800,-47.100
2.71,1,0.507,0.232,0.059,1.732,7.732,0.322,-6.300,-31.650,-48.750
2.82,1,1.003,0.199,0.476,1.746,7.551,0.635,-4.200,-31.800,-46.800
2.91,1,1.119,0.426,0.916,1.717,7.881,0.645,-3.450,-29.850,-48.300
3.03,1,1.067,0.155,0.860,1.520,7.777,0.654,-4.200,-29.550,-47.850
3.13,1,0.942,0.415,1.051,1.713,7.809,0.598,-4.500,-32.400,-47.700
3.23,1,0.922,0.554,1.063,1.627,7.826,0.490,-4.200,-32.250,-46.050
3.35,1,1.082,0.615,1.053,1.584,7.760,0.586,-3.300,-31.950,-47.400
3.45,1,1.279,0.681,1.066,1.611,7.758,0.639,-3.450,-31.800,-46.800
3.55,1,1.403,0.710,0.909,1.680,7.879,0.619,-4.950,-32.250,-48.300
3.65,1,1.401,0.609,0.722,1.686,7.797,0.641,-5.400,-33.000,-47.100
3.75,1,1.329,0.496,0.627,1.660,7.814,0.582,-5.550,-31.950,-47.400
3.87,1,1.246,0.457,0.576,1.670,7.820,0.559,-3.450,-31.500,-47.100
3.97,1,1.137,0.532,0.587,1.709,7.844,0.580,-4.950,-32.250,-46.800
4.07,1,1.013,0.639,0.653,1.615,7.961,0.643,-4.800,-32.400,-48.000
4.17,1,0.717,0.951,0.661,1.551,8.010,0.809,-3.750,-31.200,-46.650
