time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.13,0,0.638,0.258,-1.550,-0.943,-8.082,0.088,6.750,42.450,-27.900
0.22,0,0.671,0.243,-1.472,-0.979,-8.074,0.121,6.750,41.700,-27.450
0.32,0,0.575,0.118,-1.506,-1.027,-8.018,0.160,7.800,40.500,-27.900
0.44,0,0.466,-0.000,-1.560,-1.025,-8.074,0.170,7.500,40.950,-28.950
0.54,0,0.453,-0.015,-1.545,-1.107,-8.055,0.119,7.800,39.750,-28.200
0.64,0,0.525,0.036,-1.535,-0.998,-8.057,0.139,9.000,40.200,-28.650
0.75,0,0.593,0.085,-1.608,-0.984,-8.045,0.131,7.950,41.100,-27.750
0.85,0,0.596,0.068,-1.732,-1.041,-8.066,0.105,7.800,40.950,-27.150
0.95,0,0.580,0.039,-1.739,-1.021,-8.098,0.168,6.900,42.300,-26.250
1.07,0,0.569,-0.012,-1.682,-0.881,-8.068,0.084,7.800,40.200,-28.650
1.17,0,0.580,-0.081,-1.749,-1.027,-8.092,0.111,6.900,41.550,-28.500
1.27,0,0.656,-0.118,-1.792,-0.945,-8.059,0.066,8.250,40.500,-27.450
1.39,0,0.697,-0.095,-1.899,-1.187,-8.146,0.129,7.950,41.100,-27.750
1.49,0,0.685,0.039,-1.534,-0.900,-8.139,0.082,7.650,40.650,-27.300
1.59,0,0.532,0.315,-1.457,-0.990,-7.969,0.146,7.200,40.350,-29.250
1.71,0,-0.109,-0.010,-1.935,-1.053,-8.133,0.367,7.650,39.900,-28.500
1.81,0,-1.423,-0.377,-2.790,-1.049,-8.143,0.484,9.000,39.300,-29.400
1.91,0,-3.447,-0.997,-4.458,-1.285,-8.045,0.674,10.500,41.250,-30.150
2.01,0,-6.051,-1.750,-6.242,-1.355,-8.039,1.172,9.900,40.350,-31.350
2.12,0,-8.845,-2.734,-8.083,-1.455,-7.814,1.365,11.550,38.250,-32.250
2.22,0,-11.355,-3.921,-9.708,-1.461,-7.738,1.736,11.250,37.050,-35.250
2.32,0,-13.773,-5.027,-11.169,-1.814,-7.617,2.045,12.900,36.900,-34.650
2.44,0,-15.956,-5.956,-12.517,-2.033,-7.555,2.338,14.400,36.450,-37.650
2.54,0,-17.997,-6.615,-13.186,-2.064,-7.418,2.562,15.150,34.200,-37.650
