time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.08,0,0.324,0.341,0.186,-1.961,-7.754,0.520,15.750,33.150,-34.500
0.18,0,0.201,0.123,-0.012,-1.936,-8.154,0.818,15.300,33.600,-34.200
0.27,0,-0.029,0.013,-0.002,-1.824,-7.652,0.654,14.400,34.200,-33.600
0.39,0,-0.441,-0.417,-0.690,-2.299,-7.889,0.986,14.400,31.050,-34.350
0.49,0,-0.839,-0.582,-0.626,-2.090,-7.576,0.775,16.800,32.400,-35.250
0.59,0,-1.061,-0.788,-0.652,-2.205,-7.729,0.678,17.550,33.150,-35.550
0.71,0,-1.081,-0.780,-0.338,-2.277,-7.740,0.781,16.200,31.500,-35.400
0.81,0,-0.904,-0.715,-0.032,-2.125,-7.703,0.832,14.700,33.000,-33.300
0.91,0,-0.955,-0.655,-0.279,-2.236,-7.789,0.844,15.900,31.800,-34.650
1.02,0,-1.181,-0.590,-0.353,-2.230,-7.758,0.846,16.050,31.650,-36.750
1.12,0,-1.382,-0.502,-0.279,-2.020,-7.664,0.826,16.650,32.250,-35.100
1.22,0,-1.412,-0.371,-0.153,-2.111,-7.723,0.869,15.450,33.000,-36.150
1.34,0,-1.101,-0.261,0.117,-2.084,-7.834,0.965,16.200,32.550,-34.350
1.44,0,-0.916,-0.200,0.169,-1.998,-7.822,0.840,15.150,31.800,-33.600
1.56,0,-0.865,-0.307,0.238,-2.207,-7.793,0.918,15.900,31.800,-32.850
1.66,0,-0.977,-0.382,0.348,-2.199,-7.809,0.908,14.700,33.000,-35.100
1.76,0,-0.992,-0.375,0.490,-1.918,-7.811,0.824,16.650,33.000,-34.350
1.86,0,-1.039,-0.423,0.423,-2.012,-7.865,0.811,15.450,31.050,-35.100
1.97,0,-1.034,-0.426,0.355,-2.096,-7.848,0.824,15.300,32.400,-34.500
2.08,0,-1.033,-0.362,0.405,-2.059,-7.916,0.891,15.300,33.600,-35.250
2.18,0,-1.040,-0.351,0.547,-2.145,-7.758,0.842,16.200,31.800,-35.400
2.28,0,-1.160,-0.276,0.542,-2.004,-7.744,0.814,15.450,33.000,-35.100
2.39,0,-1.213,-0.200,0.443,-1.996,-7.762,0.871,15.450,31.500,-35.850
2.51,0,-1.219,-0.126,0.260,-2.143,-7.799,0.873,16.800,34.350,-35.250
2.60,0,-1.179,-0.069,0.264,-2.049,-7.764,0.857,15.450,34.200,-35.850
2.71,0,-1.162,0.003,0.270,-1.973,-7.863,0.912,14.700,33.450,-35.850
2.81,0,-1.160,0.084,0.412,-1.930,-7.793,0.902,14.700,33.750,-35.400
2.91,0,-1.169,0.177,0.589,-1.889,-7.816,0.920,12.900,33.000,-35.400
3.02,0,-1.194,0.197,0.667,-1.957,-7.766,0.934,14.700,34.200,-35.850
3.13,0,-1.144,0.224,0.708,-1.918,-7.842,0.947,15.300,32.850,-34.500
3.24,0,-1.090,0.341,0.689,-2.072,-7.811,0.963,15.900,34.200,-35.100
3.34,0,-1.143,0.394,0.871,-1.883,-7.840,0.932,12.750,35.100,-34.950
3.44,0,-1.274,0.303,0.981,-1.941,-7.758,0.855,14.550,34.350,-37.050
3.56,0,-1.312,0.192,0.930,-1.932,-7.775,0.928,16.050,33.150,-36.300
3.66,0,-1.261,0.141,0.913,-1.914,-7.738,0.943,15.450,32.550,-34.650
3.76,0,-1.118,0.089,0.776,-1.791,-7.805,0.883,14.700,32.550,-35.850
3.86,0,-0.917,0.036,0.567,-2.014,-7.805,0.857,15.750,33.900,-34.500
3.98,0,-0.749,-0.048,0.444,-1.984,-7.889,0.838,14.550,31.950,-34.950
4.08,0,-0.697,-0.130,0.350,-2.021,-7.818,0.852,14.700,32.550,-34.650
4.18,0,-0.782,-0.113,0.417,-1.998,-7.922,0.836,16.050,33.150,-36.000
4.29,0,-0.969,-0.116,0.466,-2.029,-7.854,0.725,14.250,33.600,-36.300
4.39,0,-1.276,0.134,0.299,-2.406,-7.793,0.859,15.300,32.400,-34.200
4.50,0,-1.419,0.114,0.861,-1.361,-8.084,0.887,15.750,33.900,-35.250
4.59,0,-1.947,0.140,0.470,-2.107,-7.711,0.939,14.400,31.800,-35.850
4.71,0,-2.380,0.360,0.439,-1.857,-7.715,1.053,15.000,32.850,-36.300
4.82,0,-2.684,0.586,0.461,-2.035,-7.719,1.176,14.400,33.450,-37.200
4.93,0,-2.864,0.788,0.861,-1.727,-7.842,1.201,15.000,31.950,-36.300
5.03,0,-3.039,0.721,0.837,-1.996,-7.727,1.166,13.950,32.550,-36.150
5.13,0,-2.995,0.540,0.910,-2.139,-7.846,1.199,14.400,33.450,-36.600
5.23,0,-2.871,0.485,1.072,-2.039,-7.828,1.102,14.550,33.150,-37.500
5.34,0,-2.861,0.472,0.998,-2.127,-7.818,1.141,14.250,33.150,-37.500
5.44,0,-3.011,0.578,1.045,-2.070,-7.967,1.262,15.750,30.900,-36.300
5.56,0,-3.467,0.909,1.012,-2.178,-7.887,1.160,14.400,33.000,-37.200
5.66,0,-4.042,1.201,1.058,-1.980,-8.020,1.316,13.800,31.950,-38.250
5.76,0,-4.857,1.199,1.363,-2.123,-7.873,1.891,15.150,33.450,-38.700
5.87,0,-6.397,1.137,1.822,-1.932,-7.564,1.510,14.700,33.750,-39.900
5.98,0,-8.093,0.532,1.609,-2.086,-7.672,1.752,14.550,30.900,-40.350
6.08,0,-9.677,0.318,1.686,-2.135,-7.512,2.035,14.400,31.050,-42.000
6.18,0,-11.025,0.444,2.010,-2.336,-7.697,2.209,16.500,30.450,-44.100
