time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.11,1,1.055,1.281,0.931,1.463,7.834,0.736,-5.400,-27.900,-43.800
0.21,1,1.002,1.221,0.850,1.434,7.822,0.779,-6.000,-29.250,-43.650
0.31,1,0.867,1.168,0.792,1.305,7.766,0.814,-5.550,-27.750,-45.450
0.42,1,0.738,1.216,0.679,1.418,7.848,0.725,-4.050,-28.950,-42.900
0.52,1,0.662,1.246,0.541,1.428,7.832,0.758,-3.900,-27.450,-44.850
0.62,1,0.667,1.208,0.401,1.408,7.818,0.732,-3.750,-29.700,-45.150
0.74,1,0.737,1.147,0.396,1.393,7.785,0.877,-3.000,-28.500,-44.700
0.84,1,0.687,1.157,0.330,1.502,7.828,0.861,-6.150,-28.350,-45.600
0.94,1,0.580,1.137,0.285,1.453,7.760,0.738,-5.400,-27.900,-44.550
1.04,1,0.556,1.113,0.150,1.449,7.848,0.674,-5.250,-28.950,-43.950
1.15,1,0.606,1.127,0.096,1.396,7.799,0.797,-5.550,-28.500,-43.950
1.25,1,0.659,1.093,-0.027,1.479,7.783,0.891,-4.800,-28.950,-43.950
1.35,1,0.580,1.068,0.048,1.424,7.838,0.766,-4.800,-28.050,-43.650
1.45,1,0.533,1.024,-0.012,1.352,7.791,0.809,-3.900,-29.850,-44.850
1.56,1,0.553,1.165,-0.103,1.441,7.814,0.764,-4.050,-29.250,-44.700
1.66,1,0.598,1.234,-0.144,1.424,7.797,0.809,-4.950,-27.450,-44.850
1.78,1,0.615,1.313,-0.180,1.441,7.813,0.754,-5.550,-28.950,-43.950
1.88,1,0.630,1.246,-0.152,1.445,7.844,0.828,-5.250,-28.050,-43.950
1.98,1,0.655,1.113,-0.176,1.336,7.854,0.797,-4.050,-28.050,-45.150
2.08,1,0.667,1.143,-0.184,1.398,7.867,0.840,-4.650,-28.650,-44.250
2.18,1,0.678,1.204,-0.215,1.410,7.840,0.867,-4.800,-27.750,-42.900
2.30,1,0.670,1.267,-0.236,1.432,7.832,0.820,-4.050,-28.500,-45.900
2.40,1,0.646,1.305,-0.284,1.496,7.807,0.801,-4.800,-28.500,-44.400
2.51,1,0.623,1.273,-0.320,1.494,7.832,0.838,-5.250,-28.950,-43.650
2.61,1,0.601,1.278,-0.369,1.479,7.799,0.781,-4.650,-29.100,-44.250
2.71,1,0.600,1.238,-0.366,1.410,7.814,0.777,-4.650,-27.450,-44.550
2.83,1,0.624,1.231,-0.369,1.398,7.863,0.746,-4.950,-28.350,-44.850
2.92,1,0.641,1.259,-0.389,1.414,7.799,0.805,-4.650,-28.350,-43.050
3.03,1,0.638,1.285,-0.397,1.455,7.832,0.824,-4.500,-28.950,-43.200
3.13,1,0.626,1.330,-0.431,1.537,7.803,0.785,-4.800,-28.500,-43.650
3.25,1,0.608,1.333,-0.483,1.506,7.832,0.789,-4.200,-29.100,-42.300
3.35,1,0.592,1.413,-0.492,1.422,7.826,0.777,-5.700,-29.550,-44.250
3.45,1,0.540,1.416,-0.509,1.375,7.889,0.877,-4.650,-29.550,-44.250
3.55,1,0.412,1.478,-0.442,1.305,7.852,0.908,-4.950,-28.650,-44.550
3.65,1,0.085,1.607,-0.578,1.291,7.963,1.180,-4.950,-28.650,-44.250
3.76,1,-0.728,1.864,-0.939,1.295,7.951,1.412,-4.950,-29.850,-45.600
3.88,1,-2.305,2.297,-1.118,1.336,7.973,1.705,-4.650,-29.100,-46.350
3.96,1,-4.818,2.980,-0.865,1.176,8.123,2.238,-4.500,-27.000,-46.650
4.07,1,-8.336,3.743,-1.305,1.209,7.871,2.064,-2.400,-25.950,-51.900
4.18,1,-12.011,4.488,-1.578,1.289,7.621,2.627,-2.250,-25.350,-54.300
4.28,1,-15.971,5.364,-1.604,0.982,7.586,3.227,-1.500,-22.650,-57.300
4.39,1,-20.260,5.967,-2.111,0.924,7.451,3.887,1.500,-21.450,-59.850
4.50,1,-25.111,6.249,-3.169,0.980,7.189,4.260,-0.900,-17.400,-63.000
4.60,1,-30.069,6.539,-3.813,0.736,6.758,4.678,0.450,-15.750,-65.700
4.70,1,-35.020,7.090,-4.024,0.529,6.344,5.178,-0.150,-12.600,-69.000
4.81,1,-40.015,7.754,-4.375,0.410,5.994,5.781,1.950,-8.400,-72.300
4.92,1,-45.171,8.465,-4.836,0.350,5.588,6.588,2.700,-5.550,-73.500
5.02,1,-50.664,8.551,-5.691,0.064,4.828,6.676,4.200,-0.450,-76.050
5.12,1,-56.259,7.453,-7.534,0.344,4.076,6.996,5.700,4.050,-76.050
5.24,1,-61.644,6.614,-9.271,0.287,3.410,7.416,4.800,8.100,-77.250
5.33,1,-67.202,6.484,-10.265,0.012,2.572,7.990,3.000,12.900,-77.700
5.45,1,-72.860,6.178,-11.529,-0.074,1.941,7.863,4.650,17.700,-78.300
5.56,1,-78.248,5.422,-12.670,0.109,1.178,7.664,3.300,21.450,-79.200
5.65,1,-82.922,4.348,-13.335,0.137,0.252,7.592,4.500,28.050,-78.450
5.76,1,-86.770,3.664,-14.113,-0.094,-0.137,7.986,5.400,31.050,-77.100
5.86,1,-90.031,2.309,-14.757,0.055,-0.779,8.070,4.050,33.150,-74.700
5.96,1,-92.986,0.621,-14.935,0.156,-1.299,7.707,3.000,36.750,-75.150
6.08,1,-95.507,-0.508,-15.383,0.375,-1.629,7.699,2.250,38.250,-72.450
6.18,1,-97.770,-1.472,-15.608,0.631,-1.971,8.098,1.650,40.050,-73.050
6.28,1,-100.351,-1.845,-15.502,0.295,-2.271,7.922,1.800,43.050,-70.350
6.36,1,-102.942,-2.472,-15.639,0.500,-2.588,7.479,2.250,45.750,-70.350
6.49,1,-105.237,-2.807,-15.569,0.418,-2.881,7.242,2.700,46.350,-68.550
6.59,1,-107.364,-3.196,-15.039,0.193,-3.371,7.230,1.500,49.650,-68.400
6.69,1,-109.209,-3.162,-14.835,0.127,-3.623,7.145,2.550,50.100,-66.600
6.79,1,-110.803,-3.434,-14.580,-0.072,-3.750,7.029,2.700,52.200,-66.000
6.92,1,-112.031,-3.722,-14.556,0.094,-3.889,7.061,3.750,53.550,-62.850
7.00,1,-113.287,-3.699,-14.338,0.066,-4.008,6.852,3.300,53.550,-64.350
7.11,1,-114.244,-4.209,-14.036,0.359,-4.193,6.711,2.550,55.500,-64.350
7.20,1,-114.934,-4.293,-13.640,0.133,-4.215,6.861,2.700,55.350,-63.450
7.30,1,-115.336,-4.203,-13.266,-0.014,-4.252,6.643,2.700,56.550,-62.250
7.42,1,-115.340,-4.348,-12.963,0.092,-4.297,6.805,3.300,56.250,-62.550
7.52,1,-115.286,-4.423,-12.461,0.213,-4.268,6.854,1.500,55.500,-62.850
7.62,1,-115.222,-4.582,-11.827,0.156,-4.299,6.777,2.400,55.650,-62.250
7.73,1,-115.078,-4.435,-11.477,0.086,-4.301,6.928,3.300,55.950,-62.850
7.83,1,-114.943,-4.523,-11.028,0.035,-4.275,7.078,3.000,55.050,-62.550
7.95,1,-114.902,-4.634,-10.504,-0.273,-4.100,7.072,3.300,55.050,-63.300
8.05,1,-114.956,-4.755,-10.132,0.033,-4.307,6.877,3.150,57.300,-61.950
8.15,1,-114.899,-4.689,-9.981,0.004,-4.250,6.904,1.800,56.250,-63.600
8.25,1,-114.782,-4.504,-9.901,0.111,-4.240,7.164,4.050,54.300,-62.850
8.37,1,-114.869,-4.405,-9.621,-0.041,-4.221,6.965,3.000,55.950,-63.300
8.47,1,-114.933,-4.687,-9.003,0.043,-4.217,6.980,3.750,54.000,-62.850
8.57,1,-115.060,-4.792,-8.393,-0.088,-4.258,6.980,1.800,56.250,-63.300
8.68,1,-115.183,-4.800,-8.053,0.053,-4.248,6.805,3.300,56.250,-62.850
8.77,1,-115.169,-4.756,-7.734,-0.027,-4.324,6.877,3.450,56.550,-64.200
8.89,1,-115.173,-4.766,-7.286,0.074,-4.338,6.893,3.150,54.900,-61.200
8.99,1,-115.183,-4.777,-6.639,-0.201,-4.316,6.740,4.050,54.750,-61.800
9.09,1,-115.051,-4.781,-6.114,0.031,-4.268,6.951,2.400,56.100,-61.950
9.19,1,-114.872,-4.897,-5.485,-0.043,-4.191,6.910,4.050,55.950,-64.350
9.29,1,-114.634,-5.075,-4.887,0.154,-4.197,7.012,3.450,55.650,-62.250
9.40,1,-114.410,-5.011,-4.623,-0.053,-4.166,7.086,3.750,55.950,-62.550
9.50,1,-114.298,-5.194,-4.159,0.187,-4.129,6.541,3.150,55.650,-63.750
9.62,1,-113.684,-4.912,-3.688,-0.041,-4.053,6.061,4.050,55.500,-62.550
9.72,1,-111.947,-4.532,-2.944,-0.248,-3.910,6.434,3.750,54.750,-63.300
9.82,1,-109.324,-4.313,-2.262,0.053,-3.564,7.350,3.300,52.050,-64.800
9.92,1,-106.505,-4.160,-1.902,0.227,-3.139,7.383,3.300,50.400,-65.850
10.04,1,-103.754,-3.530,-1.296,-0.078,-2.783,7.301,4.500,48.000,-68.400
10.14,1,-100.734,-2.836,-0.560,-0.219,-2.482,7.471,4.800,45.300,-69.900
10.24,1,-97.348,-2.550,0.173,-0.084,-1.682,7.834,5.550,43.800,-72.450
10.35,1,-93.807,-2.078,0.837,-0.006,-1.209,7.633,6.300,40.200,-74.400
10.45,1,-89.888,-1.669,1.557,0.107,-0.855,6.816,4.200,37.350,-74.550
10.55,1,-85.162,-0.883,2.077,0.160,-0.291,8.033,4.650,31.800,-76.050
10.65,1,-80.552,-0.738,2.578,0.160,0.584,7.654,4.800,28.500,-75.900
10.77,1,-75.675,-0.182,3.080,0.139,1.455,7.725,4.650,24.750,-77.100
10.87,1,-70.672,0.125,3.404,0.211,2.098,7.801,3.150,18.450,-78.300
10.97,1,-65.617,-0.052,3.484,0.209,2.662,7.980,3.300,14.850,-77.700
11.09,1,-61.032,-0.027,3.240,0.529,3.361,7.861,2.550,10.950,-75.900
11.19,1,-57.002,-0.585,3.015,0.670,3.754,7.563,0.150,7.950,-76.350
11.29,1,-53.021,-0.714,2.893,1.121,4.268,7.289,0.900,3.600,-76.050
11.40,1,-49.107,-0.671,3.243,0.744,4.734,6.783,0.300,1.500,-72.150
11.50,1,-44.963,-1.586,2.634,0.834,5.180,6.283,-1.050,-2.700,-72.450
11.61,1,-40.967,-1.820,2.146,1.117,5.186,6.197,-1.050,-7.350,-68.850
11.71,1,-37.148,-1.749,2.444,1.258,6.027,5.529,-3.300,-8.550,-69.150
11.81,1,-33.424,-1.139,3.327,0.838,6.313,5.047,-1.650,-11.100,-66.450
11.93,1,-29.695,-0.708,3.772,0.885,6.520,5.143,-1.650,-13.800,-65.250
12.03,1,-26.216,-0.310,4.505,1.236,6.980,4.826,-1.800,-15.150,-63.300
12.14,1,-23.579,-0.278,5.270,0.980,7.158,4.230,-1.050,-16.800,-61.800
12.23,1,-21.161,-0.867,5.621,0.852,6.998,3.664,-1.800,-19.950,-60.300
12.34,1,-18.714,-1.015,6.323,1.008,7.068,3.604,-2.250,-21.450,-58.800
12.45,1,-16.075,-1.459,5.639,1.043,6.982,3.086,-1.950,-21.600,-56.400
12.55,1,-13.365,-2.197,4.867,1.342,7.299,2.979,-3.000,-24.150,-54.750
12.64,1,-10.925,-2.949,4.364,1.131,7.482,2.494,-4.650,-23.550,-53.850
12.77,1,-8.142,-3.527,3.053,1.523,7.684,2.178,-6.750,-23.850,-50.250
12.87,1,-5.895,-3.182,4.270,1.260,7.836,1.836,-5.400,-24.450,-48.300
12.96,1,-3.512,-3.385,3.110,1.479,7.793,1.375,-3.900,-25.500,-46.800
13.06,1,-1.278,-3.305,3.210,1.430,7.949,1.156,-6.600,-28.350,-43.800
13.18,1,0.153,-2.892,4.804,1.660,7.877,1.264,-5.250,-28.500,-43.950
13.28,1,0.789,-2.486,8.183,1.209,7.721,1.027,-4.500,-28.950,-42.450
13.38,1,1.352,-2.247,9.764,1.219,7.838,0.717,-3.300,-28.500,-43.650
13.48,1,1.849,-2.297,10.441,1.219,7.879,0.742,-3.750,-29.700,-43.200
13.60,1,2.080,-2.398,10.444,1.242,7.846,0.652,-3.900,-28.350,-42.300
13.70,1,2.117,-2.173,10.162,1.379,7.828,0.621,-4.200,-30.300,-43.050
13.80,1,2.046,-2.094,9.731,1.412,7.855,0.563,-4.650,-27.900,-42.750
13.90,1,1.900,-2.072,9.331,1.430,7.895,0.486,-4.650,-27.900,-45.300
14.01,1,1.770,-2.083,8.936,1.453,7.803,0.488,-4.800,-29.700,-43.650
14.11,1,1.704,-2.019,8.599,1.420,7.875,0.535,-4.650,-30.600,-43.500
14.21,1,1.681,-2.023,8.345,1.318,7.813,0.529,-3.900,-30.600,-43.500
14.33,1,1.695,-1.907,8.146,1.479,7.867,0.557,-3.900,-28.350,-41.550
14.43,1,1.731,-1.814,7.890,1.523,7.865,0.543,-4.050,-29.700,-43.950
14.53,1,1.753,-1.765,7.613,1.469,7.781,0.623,-5.400,-29.850,-43.500
14.63,1,1.780,-1.736,7.376,1.367,7.916,0.617,-4.500,-27.300,-42.450
14.75,1,1.786,-1.730,7.171,1.268,7.787,0.635,-6.000,-29.250,-43.200
14.85,1,1.757,-1.628,6.910,1.377,7.889,0.611,-4.650,-29.850,-44.250
14.95,1,1.721,-1.535,6.668,1.486,7.775,0.662,-5.550,-29.700,-43.200
15.05,1,1.647,-1.416,6.463,1.447,7.773,0.619,-4.800,-29.250,-45.450
15.16,1,1.533,-1.380,6.323,1.359,7.777,0.588,-5.550,-27.750,-42.900
15.26,1,1.451,-1.374,6.174,1.490,7.775,0.596,-4.200,-28.350,-43.800
15.36,1,1.460,-1.350,6.071,1.434,7.758,0.631,-3.900,-28.650,-42.750
15.46,1,1.440,-1.334,5.970,1.445,7.848,0.678,-4.050,-29.250,-43.950
15.58,1,1.384,-1.375,5.627,1.408,7.760,0.635,-4.950,-28.650,-43.050
15.68,1,1.341,-1.297,5.405,1.432,7.842,0.613,-6.300,-27.750,-44.400
15.78,1,1.315,-1.201,5.317,1.582,7.861,0.699,-4.200,-27.900,-43.800
15.88,1,1.258,-1.346,5.173,1.375,7.805,0.672,-4.500,-28.950,-43.950
16.00,1,1.238,-1.406,5.009,1.367,7.861,0.676,-6.600,-31.050,-43.800
16.10,1,1.234,-1.305,4.867,1.418,7.754,0.758,-5.400,-28.350,-44.250
16.20,1,1.238,-1.248,4.665,1.418,7.729,0.650,-3.750,-28.050,-43.650
16.30,1,1.245,-0.984,4.425,1.660,7.848,0.668,-5.250,-28.050,-43.200
16.42,1,1.223,-1.090,4.285,1.467,7.742,0.664,-3.750,-28.950,-42.450
16.52,1,1.245,-1.106,4.144,1.385,7.814,0.590,-5.550,-28.500,-43.950
16.62,1,1.331,-1.066,4.046,1.379,7.854,0.654,-4.500,-28.500,-43.950
16.74,1,1.384,-0.919,3.998,1.391,7.842,0.725,-4.500,-28.950,-43.650
16.83,1,1.369,-0.822,3.883,1.436,7.852,0.670,-4.650,-28.350,-43.800
16.94,1,1.358,-0.738,3.723,1.514,7.854,0.645,-3.450,-27.150,-43.050
17.03,1,1.371,-0.725,3.622,1.516,7.816,0.662,-5.250,-28.950,-42.450
17.15,1,1.378,-0.759,3.598,1.410,7.846,0.678,-5.250,-29.250,-43.950
17.25,1,1.363,-0.700,3.447,1.480,7.881,0.684,-4.800,-27.750,-42.450
17.35,1,1.402,-0.593,3.384,1.467,7.859,0.658,-4.500,-28.950,-44.400
17.46,1,1.424,-0.608,3.270,1.490,7.820,0.717,-5.250,-28.500,-44.400
17.57,1,1.362,-0.708,3.248,1.441,7.832,0.715,-5.400,-28.650,-44.550
