time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.12,0,-1.482,0.866,-29.676,0.000,-8346.000,756.000,-7.950,51.600,-21.450
0.22,0,-1.477,0.894,-30.732,-60.000,-8198.000,810.000,-9.150,52.650,-22.500
0.32,0,-1.470,0.895,-31.700,10.000,-8314.000,796.000,-8.700,51.900,-21.750
0.44,0,-1.469,0.896,-32.640,-88.000,-8264.000,834.000,-8.250,52.950,-20.850
0.55,0,-1.465,0.874,-33.556,-118.000,-8320.000,818.000,-9.900,51.900,-21.150
0.64,0,-1.440,0.779,-34.358,-74.000,-8348.000,786.000,-7.800,52.950,-22.050
0.75,0,-1.398,0.522,-35.153,-82.000,-8314.000,828.000,-7.950,51.900,-22.950
0.86,0,-1.309,0.163,-36.063,32.000,-8110.000,926.000,-8.700,52.650,-24.000
0.95,0,-1.189,0.062,-37.068,54.000,-8200.000,980.000,-9.150,51.900,-21.750
1.06,0,-1.142,0.207,-38.139,-78.000,-8224.000,940.000,-7.200,52.650,-21.150
1.17,0,-1.104,0.381,-39.119,-112.000,-8302.000,954.000,-8.550,51.300,-22.350
1.28,0,-1.035,0.460,-40.033,-6.000,-8260.000,906.000,-9.000,51.000,-22.800
1.37,0,-0.991,0.502,-40.979,-138.000,-8262.000,906.000,-8.700,52.650,-21.150
1.50,0,-1.069,0.609,-41.767,-96.000,-8294.000,868.000,-8.400,51.600,-22.950
