time,IMU#,roll,pitch,yaw,accelx,accely,accelz,compassx,compassy,compassz
0.05,1,-0.135,0.206,-1.473,2258.000,7806.000,880.000,0.000,-54.000,-25.050
0.16,1,-0.114,0.214,-1.483,2324.000,7812.000,904.000,0.450,-54.150,-23.850
0.26,1,-0.098,0.204,-1.535,2312.000,7802.000,894.000,0.750,-54.000,-23.250
0.35,1,-0.103,0.176,-1.564,2242.000,7834.000,886.000,0.000,-54.000,-23.250
0.46,1,-0.102,0.208,-1.519,2286.000,7864.000,922.000,0.300,-53.100,-22.950
0.57,1,-0.124,0.150,-1.524,2306.000,7834.000,900.000,-0.300,-54.000,-23.700
0.67,1,-0.253,0.157,-1.339,2340.000,7946.000,1016.000,0.150,-53.400,-22.650
0.78,1,-0.521,-0.027,-1.221,2252.000,7818.000,966.000,-0.150,-53.700,-23.400
0.89,1,-0.827,-0.194,-1.298,2274.000,7666.000,838.000,0.450,-55.350,-23.850
1.00,1,-0.800,-0.279,-1.474,2258.000,7786.000,838.000,0.300,-52.350,-25.500
1.09,1,-0.559,-0.282,-1.560,2306.000,7806.000,1072.000,-0.300,-54.000,-24.750
1.20,1,-0.464,-0.267,-1.677,2358.000,7846.000,1016.000,-0.150,-52.200,-24.900
1.31,1,-0.412,-0.333,-1.785,2276.000,7792.000,980.000,-0.300,-54.000,-22.950
1.40,1,-0.344,-0.320,-1.860,2286.000,7826.000,830.000,0.000,-54.750,-24.300
1.51,1,-0.258,-0.186,-1.851,2356.000,7866.000,922.000,-0.900,-52.950,-22.650
1.62,1,-0.180,-0.063,-1.811,2342.000,7836.000,1014.000,0.900,-54.900,-23.850
1.72,1,-0.166,-0.049,-1.791,2344.000,7848.000,944.000,-0.300,-54.750,-24.000
1.83,1,-0.192,-0.093,-1.803,2280.000,7830.000,850.000,1.050,-52.350,-23.250
1.93,1,-0.203,-0.092,-1.835,2326.000,7810.000,868.000,1.050,-52.800,-24.000
2.04,1,-0.157,-0.084,-1.904,2302.000,7804.000,916.000,-1.800,-54.300,-24.000
2.13,1,-0.142,-0.065,-1.972,2294.000,7796.000,930.000,-1.650,-52.500,-23.400
2.25,1,-0.133,-0.069,-2.039,2280.000,7810.000,918.000,-0.900,-52.200,-24.150
2.34,1,-0.120,-0.084,-2.095,2294.000,7772.000,934.000,-0.450,-53.700,-24.150
2.47,1,-0.077,-0.150,-2.131,2306.000,7794.000,874.000,0.900,-53.400,-23.850
2.56,1,-0.018,-0.160,-2.213,2298.000,7832.000,890.000,-2.400,-53.400,-22.650
2.67,1,0.015,-0.125,-2.251,2324.000,7802.000,914.000,0.750,-54.300,-24.300
2.77,1,-0.002,-0.094,-2.276,2344.000,7816.000,910.000,0.300,-53.550,-23.250
2.87,1,-0.035,-0.061,-2.281,2312.000,7852.000,834.000,-0.450,-53.700,-22.650
2.98,1,-0.009,-0.007,-2.246,2290.000,7792.000,934.000,-0.450,-53.700,-23.400
3.08,1,-0.011,0.094,-2.278,2320.000,7744.000,914.000,-1.050,-52.350,-24.000
3.20,1,-0.041,0.147,-2.326,2322.000,7828.000,896.000,0.300,-53.550,-22.950
3.31,1,-0.049,0.078,-2.379,2320.000,7782.000,908.000,-0.450,-54.900,-23.100
3.39,1,-0.058,-0.068,-2.472,2348.000,7864.000,914.000,-1.050,-54.750,-23.700
3.50,1,-0.120,-0.130,-2.488,2302.000,7810.000,930.000,-0.300,-53.100,-22.950
3.61,1,-0.258,-0.221,-2.585,2242.000,7846.000,1040.000,-0.150,-52.200,-23.100
3.72,1,-0.592,-0.328,-2.795,2274.000,7862.000,1086.000,-1.650,-54.600,-24.600
3.82,1,-1.012,-0.491,-3.294,2268.000,7830.000,1120.000,1.050,-53.550,-24.750
3.94,1,-1.450,-0.839,-4.037,2290.000,7790.000,1292.000,0.900,-54.600,-24.600
4.03,1,-2.065,-1.366,-4.754,2246.000,7780.000,1440.000,1.050,-54.750,-26.250
4.14,1,-3.004,-1.941,-5.518,2318.000,7736.000,1550.000,-0.450,-53.700,-27.450
4.23,1,-4.250,-2.629,-6.211,2328.000,7770.000,1678.000,-1.050,-52.350,-29.250
4.35,1,-5.626,-3.359,-6.809,2414.000,7634.000,1628.000,0.750,-54.000,-28.800
4.45,1,-6.724,-4.126,-7.113,2404.000,7684.000,1956.000,1.500,-53.550,-31.050
